PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,FLOW_DURATION_MILLISECONDS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,Label
6,1.0,2487,45,3500,50,25,25,25,0,0,0,31,32,106,52,52,106,2934.0,3742.0,563,9,1126,13,13736000,16336000,106,0,0,0,0,26064,20272,13056,51,0,0,0,0.0,0
6,0.0,2438,38,20718,40,27,27,27,0,0,0,31,32,1352,52,52,1352,2438.0,20718.0,539,6,9939,12,19504000,165744000,64,0,0,0,14,23168,14480,6912,27,0,0,0,0.0,0
6,1.0,2487,45,3498,50,25,25,25,4294951,16,16,31,32,106,52,52,106,2934.0,3740.0,563,9,1125,13,968000,1152000,106,0,0,0,0,26064,20272,13056,51,0,0,0,0.0,0
17,0.0,536,4,304,4,0,0,0,0,0,0,31,32,152,52,52,152,536.0,304.0,0,0,0,0,4288000,2432000,6,2,0,0,0,0,0,0,0,0,0,0,0.0,0
17,0.0,520,4,304,4,0,0,0,0,0,0,31,32,144,52,52,144,520.0,304.0,0,0,0,0,4160000,2432000,6,2,0,0,0,0,0,0,0,0,0,0,0.0,0
17,0.0,544,4,304,4,0,0,0,0,0,0,31,32,156,52,52,156,544.0,304.0,0,0,0,0,4352000,2432000,6,2,0,0,0,0,0,0,0,0,0,0,0.0,0
17,0.0,130,2,162,2,0,0,0,0,0,0,31,31,81,65,65,81,130.0,162.0,0,0,0,0,1040000,1296000,4,0,0,0,0,0,0,0,0,28271,1,60,0.0,0
6,0.0,4014,68,58994,70,27,27,27,0,0,0,31,32,1352,52,52,1352,4014.0,58994.0,547,6,29077,27,32112000,471952000,94,0,0,4,40,44888,14480,8960,35,0,0,0,0.0,0
6,0.0,2542,40,21294,42,27,27,27,0,0,0,31,32,1352,52,52,1352,2542.0,21294.0,539,6,10227,13,20336000,170352000,66,0,2,0,14,24616,14480,6912,27,0,0,0,0.0,0
6,0.0,1540,16,1644,18,27,27,27,0,0,0,31,32,329,52,52,329,1540.0,1644.0,506,3,506,3,12320000,13152000,30,0,4,0,0,10136,10136,64000,250,0,0,0,0.0,0
6,0.0,1540,16,1644,18,27,27,27,0,0,0,31,32,329,52,52,329,1540.0,1644.0,506,3,506,3,12320000,13152000,30,0,4,0,0,10136,10136,64000,250,0,0,0,0.0,0
6,0.0,5174,90,91160,92,27,27,27,0,0,0,31,32,1369,52,52,1369,5174.0,91160.0,555,6,45160,38,41392000,729280000,116,0,0,0,66,60816,14480,11008,43,0,0,0,0.0,0
6,0.0,1540,16,1644,18,27,27,27,0,0,0,31,32,329,52,52,329,1540.0,1644.0,506,3,506,3,12320000,13152000,30,0,4,0,0,10136,10136,64000,250,0,0,0,0.0,0
6,1.0,2383,43,3232,45,24,24,24,0,0,0,31,32,106,52,52,106,2830.0,3474.0,563,9,1067,12,12760000,14968000,99,0,0,0,0,24616,20272,13056,51,0,0,0,221.0,0
6,92.0,48568,620,85554,682,27,27,27,4294920,47,47,31,32,1500,52,52,1500,48568.0,85554.0,15596,143,35337,198,8088000,14256000,1208,56,12,14,12,65160,65160,60416,236,0,0,0,0.0,0
6,0.0,2646,42,24692,44,27,27,27,0,0,0,31,32,1352,52,52,1352,2646.0,24692.0,539,6,11926,14,21168000,197536000,68,0,0,2,16,26064,14480,6912,27,0,0,0,0.0,0
6,1.0,2487,45,3500,50,25,25,25,0,0,0,31,32,106,52,52,106,2934.0,3742.0,563,9,1126,13,13736000,16336000,106,0,0,0,0,26064,20272,13056,51,0,0,0,0.0,0
17,0.0,568,4,304,4,0,0,0,0,0,0,31,32,142,76,76,142,568.0,304.0,0,0,0,0,4544000,2432000,4,4,0,0,0,0,0,0,0,0,0,0,0.0,0
6,0.0,4550,78,71158,80,27,27,27,0,0,0,31,32,1352,52,52,1352,4550.0,71158.0,555,6,35159,32,36400000,569264000,104,0,0,6,48,52128,14480,11008,43,0,0,0,0.0,0
6,0.0,1036,12,2262,12,27,27,27,0,0,0,31,32,829,52,52,829,1036.0,2262.0,358,3,971,3,8288000,18096000,20,2,0,2,0,10136,10136,26112,102,0,0,0,0.0,0
6,1.0,9,1,193,3,24,24,16,0,0,0,31,32,89,52,52,89,456.0,435.0,0,0,0,0,3648000,3480000,15,0,0,0,0,0,7240,0,0,0,0,0,331.0,0
6,0.0,1470,22,1728,14,27,27,27,0,0,0,31,32,510,52,52,510,1470.0,1728.0,367,4,652,3,11760000,13824000,32,2,2,0,0,10136,11584,28416,111,0,0,0,0.0,0
6,4.0,7816,122,15962,126,27,27,27,0,0,0,31,32,1500,52,52,1500,7816.0,15962.0,2240,29,6313,31,62528000,127696000,222,16,6,2,2,50680,47784,49152,192,0,0,0,0.0,0
6,0.0,424,8,8824,12,27,19,27,0,0,0,31,32,1500,52,52,1500,424.0,8824.0,0,0,4252,3,3392000,70592000,14,0,0,0,6,10136,5792,0,0,0,0,0,0.0,0
17,0.0,130,2,162,2,0,0,0,0,0,0,31,31,81,65,65,81,130.0,162.0,0,0,0,0,1040000,1296000,4,0,0,0,0,0,0,0,0,33824,1,60,0.0,0
17,0.0,146,2,178,2,0,0,0,0,0,0,31,31,89,73,73,89,146.0,178.0,0,0,0,0,1168000,1424000,4,0,0,0,0,0,0,0,0,22044,1,60,0.0,0
6,0.0,4536,28,3080,30,27,27,27,0,0,0,31,32,900,52,52,900,4536.0,3080.0,1848,6,1068,6,36288000,24640000,36,18,2,2,0,14480,14480,14336,56,0,0,0,0.0,0
6,7.0,1580,12,10168,18,27,27,27,0,0,0,31,32,1500,52,52,1500,1580.0,10168.0,578,2,4820,4,12640000,81344000,18,0,6,0,6,11584,8688,16896,66,0,0,0,0.0,0
6,0.0,3390,56,40254,58,27,27,27,0,0,0,31,32,1352,52,52,1352,3390.0,40254.0,547,6,19707,21,27120000,322032000,82,4,0,0,28,36200,14480,8960,35,0,0,0,0.0,0
6,0.0,3182,52,39694,54,27,27,27,0,0,0,31,32,1352,52,52,1352,3182.0,39694.0,547,6,19427,19,25456000,317552000,76,2,0,0,28,33304,14480,8960,35,0,0,0,0.0,0
6,1.0,9,1,193,3,24,24,16,0,0,0,31,32,89,52,52,89,456.0,435.0,0,0,0,0,3648000,3480000,15,0,0,0,0,0,7240,0,0,0,0,0,331.0,0
6,3.0,37184,52,3276,40,27,27,27,0,0,0,31,32,1500,52,52,1500,37184.0,3276.0,18120,17,958,7,297472000,26208000,64,2,2,0,24,15928,30408,51200,200,0,0,0,0.0,0
6,0.0,1920,22,4312,24,27,27,27,0,0,0,31,32,1097,52,52,1097,1920.0,4312.0,644,5,1788,5,15360000,34496000,40,0,4,0,2,13032,13032,33792,132,0,0,0,0.0,0
17,0.0,146,2,178,2,0,0,0,0,0,0,31,31,89,73,73,89,146.0,178.0,0,0,0,0,1168000,1424000,4,0,0,0,0,0,0,0,0,7499,1,60,0.0,0
6,0.0,2958,48,32408,50,27,27,27,0,0,0,31,32,1352,52,52,1352,2958.0,32408.0,539,6,15784,17,23664000,259264000,74,0,2,0,22,30408,14480,6912,27,0,0,0,0.0,0
6,0.0,1920,22,4312,24,27,27,27,0,0,0,31,32,1097,52,52,1097,1920.0,4312.0,644,5,1788,5,15360000,34496000,40,0,4,0,2,13032,13032,33792,132,0,0,0,0.0,0
6,0.0,424,8,8824,12,27,19,27,4294951,16,16,31,32,1500,52,52,1500,424.0,8824.0,0,0,4252,3,192000,4152000,14,0,0,0,6,10136,5792,0,0,0,0,0,0.0,0
17,0.0,130,2,162,2,0,0,0,0,0,0,31,31,81,65,65,81,130.0,162.0,0,0,0,0,1040000,1296000,4,0,0,0,0,0,0,0,0,44433,1,60,0.0,0
17,0.0,568,4,312,4,0,0,0,0,0,0,31,32,142,76,76,142,568.0,312.0,0,0,0,0,4544000,2496000,4,4,0,0,0,0,0,0,0,0,0,0,0.0,0
6,0.0,2230,34,14816,36,27,27,27,0,0,0,31,32,1352,52,52,1352,2230.0,14816.0,539,6,6988,10,17840000,118528000,60,0,0,0,10,20272,14480,6912,27,0,0,0,0.0,0
6,0.0,2750,44,26406,46,27,27,27,0,0,0,31,32,1352,52,52,1352,2750.0,26406.0,539,6,12783,15,22000000,211248000,72,0,0,0,18,27512,14480,6912,27,0,0,0,0.0,0
6,1.0,1031,19,1474,21,24,24,24,0,0,0,31,32,106,52,52,106,1478.0,1716.0,251,4,437,5,7544000,8240000,51,0,0,0,0,14480,13032,64256,251,0,0,0,230.0,0
17,0.0,146,2,178,2,0,0,0,0,0,0,31,31,89,73,73,89,146.0,178.0,0,0,0,0,1168000,1424000,4,0,0,0,0,0,0,0,0,11751,1,60,0.0,0
6,0.0,8928,14,320,6,27,27,19,0,0,0,31,32,1500,52,52,1500,8928.0,320.0,4252,3,0,0,71424000,2560000,14,0,0,0,6,5792,10136,39936,156,0,0,0,0.0,0
17,0.0,146,2,178,2,0,0,0,0,0,0,31,31,89,73,73,89,146.0,178.0,0,0,0,0,1168000,1424000,4,0,0,0,0,0,0,0,0,64749,1,60,0.0,0
6,1.0,481,9,750,11,24,24,24,0,0,0,31,32,94,52,52,94,928.0,992.0,132,2,172,2,5576000,5696000,31,0,0,0,0,10136,10136,33792,132,0,0,0,229.0,0
17,0.0,146,2,178,2,0,0,0,0,0,0,31,31,89,73,73,89,146.0,178.0,0,0,0,0,1168000,1424000,4,0,0,0,0,0,0,0,0,56199,1,60,0.0,0
6,0.0,4384,28,3080,30,27,27,27,0,0,0,31,32,824,52,52,824,4384.0,3080.0,1772,6,1068,6,35072000,24640000,36,18,2,2,0,14480,14480,60416,236,0,0,0,0.0,0
6,0.0,424,8,8824,12,27,19,27,0,0,0,31,32,1500,52,52,1500,424.0,8824.0,0,0,4252,3,3392000,70592000,14,0,0,0,6,10136,5792,0,0,0,0,0,0.0,0
6,0.0,1540,16,1644,18,27,27,27,0,0,0,31,32,329,52,52,329,1540.0,1644.0,506,3,506,3,12320000,13152000,30,0,4,0,0,10136,10136,64000,250,0,0,0,0.0,0
17,0.0,568,4,320,4,0,0,0,0,0,0,31,32,142,80,80,142,568.0,320.0,0,0,0,0,4544000,2560000,4,4,0,0,0,0,0,0,0,0,0,0,0.0,0
17,0.0,146,2,178,2,0,0,0,0,0,0,31,31,89,73,73,89,146.0,178.0,0,0,0,0,1168000,1424000,4,0,0,0,0,0,0,0,0,22704,1,60,0.0,0
6,1.0,1817,33,2510,35,24,24,24,0,0,0,31,32,106,52,52,106,2264.0,2752.0,436,7,792,9,10616000,12184000,79,0,0,0,0,20272,17376,46080,180,0,0,0,229.0,0
6,0.0,320,6,1844,8,27,19,27,0,0,0,31,32,762,52,52,762,320.0,1844.0,0,0,762,1,2560000,14752000,12,0,0,2,0,7240,5792,0,0,0,0,0,0.0,0
6,0.0,2054,22,2582,26,27,27,27,0,0,0,31,32,433,52,52,433,2054.0,2582.0,711,5,871,5,16432000,20656000,40,4,4,0,0,13032,13032,50944,199,0,0,0,0.0,0
17,0.0,568,4,320,4,0,0,0,0,0,0,31,32,142,80,80,142,568.0,320.0,0,0,0,0,4544000,2560000,4,4,0,0,0,0,0,0,0,0,0,0,0.0,0
6,1.0,2059,37,2816,39,24,24,24,0,0,0,31,32,106,52,52,106,2506.0,3058.0,505,8,887,10,11664000,13552000,87,0,0,0,0,21720,18824,63744,249,0,0,0,125.0,0
6,0.0,3182,52,39694,54,27,27,27,0,0,0,31,32,1352,52,52,1352,3182.0,39694.0,547,6,19427,19,25456000,317552000,76,2,0,0,28,33304,14480,8960,35,0,0,0,0.0,0
6,0.0,4816,28,3080,30,27,27,27,0,0,0,31,32,1040,52,52,1040,4816.0,3080.0,1988,6,1068,6,38528000,24640000,36,18,2,0,2,14480,14480,50176,196,0,0,0,0.0,0
6,0.0,4908,34,2344,24,27,27,27,0,0,0,31,32,1264,52,52,1264,4908.0,2344.0,1982,8,804,5,39264000,18752000,52,0,4,0,2,13032,17376,48640,190,0,0,0,0.0,0
6,4.0,7816,122,15296,126,27,27,27,0,0,0,31,32,1500,52,52,1500,7816.0,15296.0,2240,29,5980,31,62528000,122368000,222,18,4,2,2,50680,47784,49152,192,0,0,0,0.0,0
6,0.0,1540,16,1644,18,27,27,27,0,0,0,31,32,329,52,52,329,1540.0,1644.0,506,3,506,3,12320000,13152000,30,0,4,0,0,10136,10136,64000,250,0,0,0,0.0,0
6,0.0,4608,28,3080,30,27,27,27,0,0,0,31,32,936,52,52,936,4608.0,3080.0,1884,6,1068,6,36864000,24640000,36,18,2,2,0,14480,14480,23552,92,0,0,0,0.0,0
6,0.0,2158,24,1918,20,27,27,27,0,0,0,31,32,433,52,52,433,2158.0,1918.0,711,5,643,4,17264000,15344000,38,2,4,0,0,11584,13032,50944,199,0,0,0,0.0,0
6,0.0,4014,68,61134,70,27,27,27,0,0,0,31,32,1352,52,52,1352,4014.0,61134.0,547,6,30147,27,32112000,489072000,94,0,0,0,44,44888,14480,8960,35,0,0,0,0.0,0
6,0.0,320,6,2012,8,27,19,27,0,0,0,31,32,846,52,52,846,320.0,2012.0,0,0,846,1,2560000,16096000,12,0,0,2,0,7240,5792,0,0,0,0,0,0.0,0
6,1.0,1031,19,1474,21,24,24,24,0,0,0,31,32,106,52,52,106,1478.0,1716.0,251,4,437,5,7544000,8240000,51,0,0,0,0,14480,13032,64256,251,0,0,0,230.0,0
6,3.0,37496,52,3276,40,27,27,27,0,0,0,31,32,1500,52,52,1500,37496.0,3276.0,18276,17,958,7,299968000,26208000,64,2,2,0,24,15928,30408,25600,100,0,0,0,0.0,0
6,0.0,1540,16,1644,18,27,27,27,0,0,0,31,32,329,52,52,329,1540.0,1644.0,506,3,506,3,12320000,13152000,30,0,4,0,0,10136,10136,64000,250,0,0,0,0.0,0
6,0.0,3806,64,55844,66,27,27,27,0,0,0,31,32,1352,52,52,1352,3806.0,55844.0,547,6,27502,25,30448000,446752000,88,2,0,0,40,41992,14480,8960,35,0,0,0,0.0,0
17,0.0,132,2,164,2,0,0,0,0,0,0,31,31,82,66,66,82,132.0,164.0,0,0,0,0,1056000,1312000,4,0,0,0,0,0,0,0,0,49900,1,60,0.0,0
6,0.0,1540,16,1644,18,27,27,27,0,0,0,31,32,329,52,52,329,1540.0,1644.0,506,3,506,3,12320000,13152000,30,0,4,0,0,10136,10136,64000,250,0,0,0,0.0,0
6,7.0,1684,14,10168,18,27,27,27,4294951,16,16,31,32,1500,52,52,1500,1684.0,10168.0,578,2,4820,4,792000,4784000,20,0,6,0,6,11584,8688,16896,66,0,0,0,0.0,0
17,0.0,146,2,178,2,0,0,0,0,0,0,31,31,89,73,73,89,146.0,178.0,0,0,0,0,1168000,1424000,4,0,0,0,0,0,0,0,0,13431,1,60,0.0,0
6,1.0,261,5,469,7,24,24,24,0,0,0,31,32,89,52,52,89,708.0,711.0,74,1,89,1,4656000,4584000,23,0,0,0,0,8688,8688,18944,74,0,0,0,230.0,0
6,3.0,37168,52,3380,42,27,27,27,4294952,15,15,31,32,1500,52,52,1500,37168.0,3380.0,18112,17,958,7,18584000,1688000,66,2,2,0,24,15928,30408,49152,192,0,0,0,0.0,0
6,0.0,4238,72,63878,74,27,27,27,0,0,0,31,32,1352,52,52,1352,4238.0,63878.0,555,6,31519,29,33904000,511024000,98,0,0,6,42,47784,14480,11008,43,0,0,0,0.0,0
6,0.0,1920,22,4312,24,27,27,27,0,0,0,31,32,1097,52,52,1097,1920.0,4312.0,644,5,1788,5,15360000,34496000,40,0,4,0,2,13032,13032,33792,132,0,0,0,0.0,0
6,0.0,2646,42,23966,44,27,27,27,0,0,0,31,32,1352,52,52,1352,2646.0,23966.0,539,6,11563,14,21168000,191728000,68,0,2,0,16,26064,14480,6912,27,0,0,0,0.0,0
6,0.0,12362,213,513132,412,27,27,27,4294936,31,31,31,32,1500,52,52,1500,12362.0,513132.0,1679,20,253866,182,3088000,128280000,263,0,4,28,330,65160,34752,36608,143,0,0,0,0.0,0
17,0.0,528,4,304,4,0,0,0,0,0,0,31,32,148,52,52,148,528.0,304.0,0,0,0,0,4224000,2432000,6,2,0,0,0,0,0,0,0,0,0,0,0.0,0
6,0.0,2854,46,29168,48,27,27,27,0,0,0,31,32,1352,52,52,1352,2854.0,29168.0,539,6,14164,16,22832000,233344000,70,4,0,0,20,28960,14480,6912,27,0,0,0,0.0,0
6,7.0,1580,12,10168,18,27,27,27,0,0,0,31,32,1500,52,52,1500,1580.0,10168.0,578,2,3320,3,12640000,81344000,18,0,6,0,6,10136,8688,16896,66,0,0,0,0.0,0
17,0.0,568,4,304,4,0,0,0,0,0,0,31,32,142,76,76,142,568.0,304.0,0,0,0,0,4544000,2432000,4,4,0,0,0,0,0,0,0,0,0,0,0.0,0
6,0.0,1036,12,2262,12,27,27,27,0,0,0,31,32,829,52,52,829,1036.0,2262.0,358,3,971,3,8288000,18096000,20,2,0,2,0,10136,10136,26112,102,0,0,0,0.0,0
6,0.0,2646,42,23636,44,27,27,27,0,0,0,31,32,1352,52,52,1352,2646.0,23636.0,539,6,11398,14,21168000,189088000,70,0,0,0,16,26064,14480,6912,27,0,0,0,0.0,0
6,7.0,1684,14,10168,18,27,27,27,0,0,0,31,32,1500,52,52,1500,1684.0,10168.0,578,2,4820,4,13472000,81344000,20,0,6,0,6,11584,8688,16896,66,0,0,0,0.0,0
6,3.0,37308,52,3380,42,27,27,27,4294951,16,16,31,32,1500,52,52,1500,37308.0,3380.0,18182,17,958,7,17552000,1584000,66,2,2,0,24,15928,30408,1536,6,0,0,0,0.0,0
6,0.0,2750,44,27344,46,27,27,27,0,0,0,31,32,1352,52,52,1352,2750.0,27344.0,539,6,13252,15,22000000,218752000,70,0,0,2,18,27512,14480,6912,27,0,0,0,0.0,0
17,0.0,146,2,178,2,0,0,0,0,0,0,31,31,89,73,73,89,146.0,178.0,0,0,0,0,1168000,1424000,4,0,0,0,0,0,0,0,0,25296,1,60,0.0,0
6,0.0,1540,16,1644,18,27,27,27,0,0,0,31,32,329,52,52,329,1540.0,1644.0,506,3,506,3,12320000,13152000,30,0,4,0,0,10136,10136,64000,250,0,0,0,0.0,0
17,0.0,528,4,304,4,0,0,0,0,0,0,31,32,148,52,52,148,528.0,304.0,0,0,0,0,4224000,2432000,6,2,0,0,0,0,0,0,0,0,0,0,0.0,0
6,1.0,1251,23,1752,25,24,24,24,0,0,0,31,32,106,52,52,106,1698.0,1994.0,309,5,517,6,8552000,9520000,59,0,0,0,0,15928,14480,13568,53,0,0,0,229.0,0
6,7.0,1684,14,10168,18,27,27,27,0,0,0,31,32,1500,52,52,1500,1684.0,10168.0,578,2,4820,4,13472000,81344000,20,0,6,0,6,11584,8688,16896,66,0,0,0,0.0,0
6,0.0,320,6,1880,8,27,19,27,0,0,0,31,32,780,52,52,780,320.0,1880.0,0,0,780,1,2560000,15040000,12,0,0,2,0,7240,5792,0,0,0,0,0,0.0,0
6,7.0,1580,12,10168,18,27,27,27,0,0,0,31,32,1500,52,52,1500,1580.0,10168.0,578,2,3320,3,12640000,81344000,18,0,6,0,6,10136,8688,16896,66,0,0,0,0.0,0
6,0.0,1064,12,2260,12,27,27,27,0,0,0,31,32,828,52,52,828,1064.0,2260.0,372,3,970,3,8512000,18080000,20,2,0,2,0,10136,10136,29696,116,0,0,0,0.0,0
6,1.0,481,9,750,11,24,24,24,0,0,0,31,32,94,52,52,94,928.0,992.0,132,2,172,2,5576000,5696000,31,0,0,0,0,10136,10136,33792,132,0,0,0,229.0,0
6,1.0,915,17,1370,19,24,24,24,0,0,0,31,32,106,52,52,106,1362.0,1612.0,193,3,437,5,6904000,7496000,47,0,0,0,0,14480,13032,49408,193,0,0,0,230.0,0
6,0.0,2438,38,19266,40,27,27,27,0,0,0,31,32,1352,52,52,1352,2438.0,19266.0,539,6,9213,12,19504000,154128000,64,0,0,2,12,23168,14480,6912,27,0,0,0,0.0,0
6,0.0,1470,22,1728,14,27,27,27,0,0,0,31,32,510,52,52,510,1470.0,1728.0,367,4,652,3,11760000,13824000,32,2,2,0,0,10136,11584,28416,111,0,0,0,0.0,0
6,0.0,2646,42,25418,44,27,27,27,0,0,0,31,32,1352,52,52,1352,2646.0,25418.0,539,6,12289,14,21168000,203344000,68,0,0,2,16,26064,14480,6912,27,0,0,0,0.0,0
17,0.0,146,2,178,2,0,0,0,0,0,0,31,31,89,73,73,89,146.0,178.0,0,0,0,0,1168000,1424000,4,0,0,0,0,0,0,0,0,31183,1,60,0.0,0
17,0.0,568,4,304,4,0,0,0,0,0,0,31,32,142,76,76,142,568.0,304.0,0,0,0,0,4544000,2432000,4,4,0,0,0,0,0,0,0,0,0,0,0.0,0
6,92.0,5928,62,8010,58,27,27,27,0,0,0,31,32,900,52,52,900,5928.0,8010.0,2024,13,3325,16,47424000,64080000,108,2,4,6,0,28960,24616,59392,232,0,0,0,0.0,0
6,0.0,1540,16,1644,18,27,27,27,0,0,0,31,32,329,52,52,329,1540.0,1644.0,506,3,506,3,12320000,13152000,30,0,4,0,0,10136,10136,64000,250,0,0,0,0.0,0
6,0.0,1470,22,1728,14,27,27,27,0,0,0,31,32,510,52,52,510,1470.0,1728.0,367,4,652,3,11760000,13824000,32,2,2,0,0,10136,11584,28416,111,0,0,0,0.0,0
6,3.0,37518,52,3276,40,27,27,27,4294951,16,16,31,32,1500,52,52,1500,37518.0,3276.0,18287,17,958,7,17648000,1536000,64,2,2,0,24,15928,30408,28416,111,0,0,0,0.0,0
6,0.0,2766,44,24004,46,27,27,27,0,0,0,31,32,1352,52,52,1352,2766.0,24004.0,547,6,11582,15,22128000,192032000,70,4,0,0,16,27512,14480,8960,35,0,0,0,0.0,0
6,0.0,88,2,0,0,2,2,0,0,0,0,254,254,44,44,0,44,88.0,0.0,0,0,0,0,704000,0,2,0,0,0,0,49772,0,0,0,0,0,0,0.0,0
6,1.0,1493,27,2056,29,24,24,24,0,0,0,31,32,106,52,52,106,1940.0,2298.0,378,6,611,7,9544000,10784000,67,0,0,0,0,17376,15928,31232,122,0,0,0,125.0,0
6,0.0,3926,66,55486,68,27,27,27,0,0,0,31,32,1352,52,52,1352,3926.0,55486.0,555,6,27323,26,31408000,443888000,92,0,0,6,36,43440,14480,11008,43,0,0,0,0.0,0
17,0.0,536,4,304,4,0,0,0,0,0,0,31,32,152,52,52,152,536.0,304.0,0,0,0,0,4288000,2432000,6,2,0,0,0,0,0,0,0,0,0,0,0.0,0
6,1.0,2059,37,2816,39,24,24,24,0,0,0,31,32,106,52,52,106,2506.0,3058.0,505,8,887,10,11664000,13552000,87,0,0,0,0,21720,18824,63744,249,0,0,0,125.0,0
6,7.0,1684,14,10168,18,27,27,27,0,0,0,31,32,1500,52,52,1500,1684.0,10168.0,578,2,4820,4,13472000,81344000,20,0,6,0,6,11584,8688,16896,66,0,0,0,0.0,0
6,0.0,3390,56,40254,58,27,27,27,0,0,0,31,32,1352,52,52,1352,3390.0,40254.0,547,6,19707,21,27120000,322032000,82,4,0,0,28,36200,14480,8960,35,0,0,0,0.0,0
6,0.0,2334,36,16446,38,27,27,27,0,0,0,31,32,1352,52,52,1352,2334.0,16446.0,539,6,7803,11,18672000,131568000,62,0,0,2,10,21720,14480,6912,27,0,0,0,0.0,0
6,3.0,37428,52,3276,40,27,27,27,0,0,0,31,32,1500,52,52,1500,37428.0,3276.0,18242,17,958,7,299424000,26208000,64,2,2,0,24,15928,30408,16896,66,0,0,0,0.0,0
6,0.0,320,6,1850,8,27,19,27,0,0,0,31,32,765,52,52,765,320.0,1850.0,0,0,765,1,2560000,14800000,12,0,0,2,0,7240,5792,0,0,0,0,0,0.0,0
6,0.0,3390,56,42312,58,27,27,27,0,0,0,31,32,1352,52,52,1352,3390.0,42312.0,547,6,20736,21,27120000,338496000,82,0,0,4,28,36200,14480,8960,35,0,0,0,0.0,0
